## id x[0] y[0] z[0] T[0] x[1] y[1] z[1] T[1] x[2] y[2] z[2] T[2] 0 0 0 1
0	  -1.00000    0.00020   -0.00273    0.00000   -0.00274   -0.07379    0.99727   79.50060    0.00000    0.99727    0.07379   12.98750 0 0 0 1
1	  -0.99994    0.00079   -0.01074   -0.62743   -0.01077   -0.07357    0.99723   79.50060    0.00000    0.99729    0.07358   12.97140 0 0 0 1
2	  -0.99941    0.00242   -0.03416   -2.46004   -0.03425   -0.07055    0.99692   79.46470   -0.00000    0.99750    0.07059   12.73670 0 0 0 1
3	  -0.99746    0.00426   -0.07117   -5.35284   -0.07130   -0.05963    0.99567   79.32170    0.00000    0.99821    0.05979   11.88860 0 0 0 1
4	  -0.99287    0.00449   -0.11914   -9.09605   -0.11922   -0.03742    0.99216   78.97920    0.00000    0.99929    0.03769   10.15800 0 0 0 1
5	  -0.98427    0.00088   -0.17667  -13.58660   -0.17668   -0.00488    0.98426   78.33150    0.00000    0.99999    0.00496    7.59992 0 0 0 1
6	  -0.96942   -0.00795   -0.24528  -18.96450   -0.24541    0.03142    0.96891   77.20700    0.00000    0.99948   -0.03241    4.67862 0 0 0 1
7	  -0.94393   -0.01807   -0.32966  -25.60520   -0.33016    0.05165    0.94251   75.26680   -0.00000    0.99850   -0.05472    2.92695 0 0 0 1
8	  -0.90603   -0.01367   -0.42300  -32.91310   -0.42322    0.02927    0.90555   72.36840   -0.00000    0.99948   -0.03230    4.68284 0 0 0 1
9	  -0.85658    0.00670   -0.51597  -40.22340   -0.51602   -0.01111    0.85651   68.57530    0.00000    0.99992    0.01298    8.22958 0 0 0 1
10	  -0.78789    0.02255   -0.61541  -48.11890   -0.61582   -0.02885    0.78736   63.28730   -0.00000    0.99933    0.03662   10.08840 0 0 0 1
11	  -0.70305   -0.00197   -0.71114  -55.69970   -0.71114    0.00195    0.70304   56.72700   -0.00000    1.00000   -0.00277    6.99486 0 0 0 1
12	  -0.60216   -0.04251   -0.79724  -62.68990   -0.79837    0.03207    0.60131   48.89440    0.00000    0.99858   -0.05325    3.01115 0 0 0 1
13	  -0.47735   -0.03554   -0.87800  -69.19150   -0.87872    0.01930    0.47696   39.15350   -0.00000    0.99918   -0.04044    4.01590 0 0 0 1
14	  -0.33962    0.00595   -0.94054  -74.27680   -0.94056   -0.00215    0.33962   28.34790   -0.00000    0.99998    0.00632    7.71334 0 0 0 1
15	  -0.18380   -0.01160   -0.98289  -77.86440   -0.98296    0.00217    0.18379   16.04980   -0.00000    0.99993   -0.01180    6.27528 0 0 0 1
16	  -0.02267   -0.06413   -0.99768  -79.43590   -0.99974    0.00145    0.02262    3.25625    0.00000    0.99794   -0.06414    2.09186 0 0 0 1
17	   0.14846   -0.03767   -0.98820  -78.81610   -0.98892   -0.00565   -0.14835  -10.41350    0.00000    0.99927   -0.03809    4.16643 0 0 0 1
18	   0.31635    0.01034   -0.94859  -75.82370   -0.94864    0.00345   -0.31633  -23.90600   -0.00000    0.99994    0.01090    8.08665 0 0 0 1
19	   0.47967   -0.02650   -0.87705  -70.31200   -0.87745   -0.01449   -0.47945  -37.10300    0.00000    0.99954   -0.03020    4.78394 0 0 0 1
20	   0.63163   -0.03878   -0.77430  -62.25640   -0.77527   -0.03159   -0.63084  -49.44490   -0.00000    0.99875   -0.05002    3.17709 0 0 0 1
21	   0.75816    0.01276   -0.65195  -52.43280   -0.65207    0.01483   -0.75801  -59.76050   -0.00000    0.99981    0.01956    8.79230 0 0 0 1
22	   0.86611    0.00624   -0.49982  -40.20610   -0.49985    0.01080   -0.86604  -68.58540   -0.00000    0.99992    0.01247    8.22153 0 0 0 1
23	   0.94225   -0.01747   -0.33446  -26.89450   -0.33491   -0.04916   -0.94097  -74.81560    0.00000    0.99864   -0.05217    2.98403 0 0 0 1
24	   0.98713    0.00175   -0.15990  -12.73410   -0.15991    0.01082   -0.98707  -78.47450   -0.00000    0.99994    0.01096    8.10004 0 0 0 1
25	   0.99976   -0.00150    0.02164    1.96947    0.02169    0.06915   -0.99737  -79.47850   -0.00000    0.99760    0.06917   12.82500 0 0 0 1
26	   0.98049    0.00259    0.19657   16.11340    0.19658   -0.01291   -0.98040  -77.85130   -0.00000    0.99991   -0.01317    6.14778 0 0 0 1
