## index cx 0 fx 0 cy fy 0 0 1
0	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
1	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
2	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
3	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
4	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
5	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
6	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
7	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
8	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
9	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
10	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
11	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
12	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
13	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
14	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
15	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
16	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
17	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
18	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
19	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
20	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
21	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
22	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
23	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
24	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
25	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
26	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
27	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
28	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
29	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
30	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
31	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
32	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
33	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
34	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
35	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
36	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
37	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
38	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
39	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
40	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
41	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
42	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
43	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
44	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
45	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
46	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
47	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
48	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
49	 933.3378 0 480.0 0 933.3273 270.0 0 0 1
